BL_SEX_R5,1:basic_05_R/100/100/0
BL_SEX_R6,1:basic_06_F/100/100/0
BJ_EX1,1:BJ2_01/100/100/0
BJ_EX2,1:BJ2_02_R/100/100/0
BJ1,1:BJ_01/100/100/0
BJ2,1:BJ_02_R/100/100/0
BJ3,1:BJ_03_R/100/100/0
BJ4,1:BJ_04_R/100/100/0
BJ5,1:BJ_05_R/100/100/0
BJ6,1:BJ_06_F/100/100/0
BJ7,1:Masturbation_05_R/100/100/0
BJ8,1:BJ_08_F/100/100/0
BJ9,1:BJ_09/100/100/0
BJ10,1:BJ_09/100/100/0
BJ11,1:BJ_06_F/100/100/0
CL1,1:BJ2_02_R/100/100/0
CL2,1:BJ2_02_R/100/100/0
FJ1,1:Masturbation_01/100/100/0
FJ2,1:Masturbation_02_R/100/100/0
FJ3,1:Masturbation_03_R/100/100/0
FJ4,1:Masturbation_04_R/100/100/0
FJ5,1:Masturbation_05_R/100/100/0
FJ6,1:Masturbation_06_F/100/100/0
MW1,1:Masturbation_01/100/100/0
MW2,1:Masturbation_02_R/100/100/0
MW3,1:Masturbation_03_R/100/100/0
MW4,1:Masturbation_04_R/100/100/0
MW5,1:Masturbation_05_R/100/100/0
MW6,1:Masturbation_06_F/100/100/0
MW7,1:Masturbation_06_F/100/100/0
MW8,1:Masturbation_06_F/100/100/0
M_SBJ1,1:Masturbation_01/100/100/0
M_SBJ2,1:Masturbation_02_R/100/100/0
M_SBJ3,1:Masturbation_03_R/100/100/0
M_SBJ4,1:Masturbation_04_R/100/100/0
M_SBJ5,1:Masturbation_05_R/100/100/0
M_SBJ6,1:Masturbation_06_F/100/100/0
M_SBJ7,1:Masturbation_06_F/100/100/0
SBJ1,1:basic_01/100/100/0
SBJ2,1:basic_02_R/100/100/0
SBJ3,1:basic_03_R/100/100/0
SBJ4,1:basic_04_R/100/100/0
SBJ5,1:basic_05_R/100/100/0
SBJ6,1:basic_06_F/100/100/0
SHJ1,1:Masturbation_01/100/100/0
SHJ2,1:Masturbation_02_R/100/100/0
SHJ3,1:Masturbation_03_R/100/100/0
SHJ4,1:Masturbation_04_R/100/100/0
SHJ5,1:Masturbation_05_R/100/100/0
SHJ6,1:Masturbation_06_F/100/100/0
TIT1,1:ISEX_01/100/100/0
TIT2,1:Masturbation_02_R/100/100/0
TIT3,1:Masturbation_03_R/100/100/0
TIT4,1:Masturbation_04_R/100/100/0
TIT5,1:Masturbation_05_R/100/100/0
TIT6,1:Masturbation_06_F/100/100/0
STIT1,1:ISEX_01/100/100/0
STIT2,1:Masturbation_02_R/100/100/0
STIT3,1:Masturbation_03_R/100/100/0
STIT4,1:Masturbation_04_R/100/100/0
STIT5,1:Masturbation_05_R/100/100/0
STIT6,1:Masturbation_06_F/100/100/0
CG1,1:CG_01/100/100/0
